Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691211
,ICP.M.AT.N.011100.4.ANR,ICP.M.AT.N.011200.4.ANR,ICP.M.AT.N.011400.4.ANR,ICP.M.AT.N.011500.4.ANR,ICP.M.AT.N.011700.4.ANR,ICP.M.AT.N.011800.4.ANR,ICP.M.BE.N.011100.4.ANR,ICP.M.BE.N.011200.4.ANR,ICP.M.BE.N.011400.4.ANR,ICP.M.BE.N.011500.4.ANR,ICP.M.BE.N.011700.4.ANR,ICP.M.BE.N.011800.4.ANR,ICP.M.BG.N.011100.4.ANR,ICP.M.BG.N.011200.4.ANR,ICP.M.BG.N.011400.4.ANR,ICP.M.BG.N.011500.4.ANR,ICP.M.BG.N.011700.4.ANR,ICP.M.BG.N.011800.4.ANR,ICP.M.CY.N.011100.4.ANR,ICP.M.CY.N.011200.4.ANR,ICP.M.CY.N.011400.4.ANR,ICP.M.CY.N.011500.4.ANR,ICP.M.CY.N.011700.4.ANR,ICP.M.CY.N.011800.4.ANR,ICP.M.CZ.N.011100.4.ANR,ICP.M.CZ.N.011200.4.ANR,ICP.M.CZ.N.011400.4.ANR,ICP.M.CZ.N.011500.4.ANR,ICP.M.CZ.N.011700.4.ANR,ICP.M.CZ.N.011800.4.ANR,ICP.M.D0.N.011100.4.ANR,ICP.M.D0.N.011200.4.ANR,ICP.M.D0.N.011400.4.ANR,ICP.M.D0.N.011500.4.ANR,ICP.M.D0.N.011700.4.ANR,ICP.M.D0.N.011800.4.ANR,ICP.M.DE.N.011100.4.ANR,ICP.M.DE.N.011200.4.ANR,ICP.M.DE.N.011400.4.ANR,ICP.M.DE.N.011500.4.ANR,ICP.M.DE.N.011700.4.ANR,ICP.M.DE.N.011800.4.ANR,ICP.M.DK.N.011100.4.ANR,ICP.M.DK.N.011200.4.ANR,ICP.M.DK.N.011400.4.ANR,ICP.M.DK.N.011500.4.ANR,ICP.M.DK.N.011700.4.ANR,ICP.M.DK.N.011800.4.ANR,ICP.M.EE.N.011100.4.ANR,ICP.M.EE.N.011200.4.ANR
2009May,1.9,1.7,-4.1,-4.0,-3.4,4.4,2.1,3.3,-0.8,1.7,-0.4,4.1,-2.9,11.6,3.0,-30.1,2.2,3.1,6.7,8.3,4.3,9.9,4.5,8.5,-8.6,1.3,-7.8,-4.2,-5.2,3.8,2.2,3.7,-1.4,-3.8,2.3,3.6,1.0,3.4,-6.6,-5.5,-6.4,2.3,1.3,-0.5,-3.9,0.4,-1.8,2.9,-0.4,3.1
2009Apr,1.8,3.1,-4.5,-3.3,1.4,5.8,2.6,3.1,-0.6,4.0,6.1,5.1,-1.8,13.0,2.4,-27.9,0.1,3.9,7.8,9.4,4.1,13.7,4.6,7.2,-5.3,1.5,-9.5,-4.1,4.9,1.8,2.8,4.3,-1.2,-2.8,5.1,3.7,1.0,3.9,-8.4,-6.1,1.7,2.6,2.6,-0.3,-2.9,1.6,4.8,1.7,1.5,3.5
2009Mar,2.3,2.9,-4.7,-2.3,4.8,7.4,2.9,3.6,-0.2,6.0,11.0,5.0,-0.6,14.5,2.6,-25.0,-1.2,4.8,9.0,13.3,4.2,13.2,21.4,8.7,-4.8,2.3,-7.5,-0.6,5.0,3.7,3.5,4.8,-0.6,-1.0,7.1,4.1,1.4,3.7,-8.0,-4.3,5.7,2.5,2.3,1.8,-1.9,0.9,8.2,2.0,4.6,6.1
2009Feb,2.6,3.3,-4.2,-2.6,11.3,5.8,3.6,3.6,0.3,6.4,12.3,5.4,1.2,15.6,3.0,-20.4,-2.5,5.1,9.0,12.2,6.0,14.2,0.2,5.6,-3.1,2.0,-8.3,-1.4,8.8,1.5,4.3,5.1,-0.2,0.4,8.5,4.1,2.1,4.6,-7.5,-5.1,10.2,3.5,3.1,4.1,-1.2,2.8,8.9,2.7,8.8,6.9
2009Jan,3.6,5.0,-3.8,-0.6,3.3,7.5,4.5,3.9,1.2,8.1,7.8,3.8,4.2,16.6,3.8,-14.6,2.5,5.7,11.2,11.7,5.7,15.1,12.7,5.3,0.4,1.5,-7.5,-1.1,-0.3,2.7,5.3,5.1,0.8,2.2,4.9,4.4,3.4,4.5,-6.5,-1.9,2.3,5.4,4.6,5.5,-0.2,4.6,3.4,3.6,10.0,6.7
2008Dec,5.6,5.7,-2.7,0.8,2.1,7.0,5.7,3.6,3.0,11.0,-0.7,5.3,5.6,16.7,4.9,-8.3,-2.7,5.5,12.3,7.8,4.1,13.9,4.5,4.5,2.8,3.4,-6.9,-1.2,-3.2,2.9,6.4,5.3,2.4,3.0,3.5,4.6,4.7,4.9,-4.6,-6.0,2.4,6.8,5.4,4.0,1.2,11.4,4.2,4.1,11.1,7.1
2008Nov,7.3,5.9,-0.3,2.2,-0.7,8.3,7.3,3.8,6.4,12.1,-2.6,5.8,7.9,16.8,5.6,3.3,1.9,5.5,12.9,5.5,4.6,13.6,25.0,4.3,4.7,3.9,-3.5,1.5,-11.1,6.0,7.2,5.3,4.0,4.8,1.9,5.2,5.7,5.2,-2.4,-5.7,-2.8,7.1,6.9,5.2,1.9,9.4,0.6,4.8,12.4,7.7
2008Oct,8.9,4.7,2.6,6.5,3.1,6.4,8.5,3.6,11.1,13.2,1.6,5.5,12.0,14.7,5.1,14.5,8.7,5.4,13.8,4.6,5.3,16.1,38.0,0.6,17.9,3.9,2.4,11.7,-2.8,7.6,8.7,5.4,6.9,7.5,3.2,5.2,7.1,5.1,4.1,-2.9,1.5,6.4,9.8,6.1,6.7,11.8,4.5,4.7,16.0,9.6
2008Sep,10.2,6.4,6.8,12.8,3.3,6.3,10.2,4.0,13.8,14.4,-2.7,6.3,18.6,13.0,4.5,25.5,-7.9,5.2,13.8,3.5,3.7,12.4,27.1,-1.2,21.6,3.8,8.9,16.8,-2.7,9.4,10.5,6.1,10.2,10.1,2.0,5.2,7.9,4.8,10.7,-0.7,2.7,6.4,13.3,4.5,11.8,19.5,7.0,6.2,22.0,13.0
2008Aug,11.0,5.4,7.8,13.2,2.0,5.9,11.7,3.7,15.2,16.1,-1.3,5.7,21.1,11.6,6.1,40.9,-16.6,5.4,14.9,4.1,5.4,15.7,7.7,0.2,22.6,4.1,11.5,19.4,-5.8,8.7,12.1,6.0,12.8,13.1,1.5,5.2,8.7,4.5,14.9,2.7,-0.6,6.9,15.0,7.4,14.9,23.6,10.4,5.9,24.8,13.3
2008Jul,11.5,4.8,11.1,12.7,2.7,4.9,12.1,3.6,15.7,16.4,1.4,5.2,32.6,14.5,21.5,64.8,-6.7,5.8,18.3,3.6,3.8,14.3,3.8,0.3,21.9,5.2,14.6,18.9,-2.7,7.8,12.3,5.9,13.9,15.4,3.5,5.1,9.0,3.5,16.1,18.2,1.6,6.8,15.3,6.1,15.8,21.8,11.1,6.1,25.2,14.4
2008Jun,11.0,4.1,13.9,14.7,1.1,5.5,12.1,3.4,16.5,17.1,0.9,3.9,40.8,14.2,26.0,70.6,7.8,5.8,17.2,2.2,3.7,11.8,8.0,-0.6,20.1,5.5,15.0,18.7,-0.6,4.5,11.6,5.3,14.2,14.7,3.3,4.7,8.6,3.1,16.4,15.3,1.0,6.0,14.9,4.7,16.1,20.9,9.7,7.2,25.0,13.0
2008May,10.8,4.4,15.8,14.9,2.5,5.0,12.0,3.0,16.9,15.6,2.4,3.8,39.3,11.5,25.9,85.5,13.4,6.4,12.2,2.1,4.4,8.1,8.0,-1.1,20.7,4.9,17.6,19.1,-1.2,6.6,11.1,4.8,14.3,13.8,2.8,4.4,8.5,3.1,16.7,15.3,-0.3,5.9,14.2,3.1,14.4,21.4,6.2,6.5,26.2,12.3
2008Apr,11.1,4.5,16.0,14.4,-1.3,4.7,11.5,3.1,16.9,13.4,-9.7,2.8,38.4,11.0,25.9,85.8,15.8,6.2,11.4,2.2,3.4,5.3,1.3,-2.4,23.4,5.6,19.5,18.0,-17.3,6.6,10.7,4.1,14.9,13.2,-1.1,4.2,8.4,2.6,21.6,18.2,-7.6,5.8,12.1,3.2,15.2,21.5,0.7,6.2,25.6,12.3
2008Mar,11.0,4.6,15.9,13.5,5.3,4.0,11.7,2.6,16.4,11.5,-5.0,3.1,37.5,9.5,26.2,81.7,17.3,5.7,10.9,1.4,5.0,8.3,5.1,-3.4,24.1,5.2,20.1,15.6,-8.5,5.2,10.3,3.9,14.9,11.9,1.8,4.2,8.2,3.0,21.5,17.7,-2.1,5.5,12.5,1.0,15.1,23.1,5.8,6.5,22.3,11.5
2008Feb,11.2,4.7,15.9,16.1,2.4,6.2,11.1,2.6,16.5,11.2,-8.8,2.6,36.8,8.5,27.5,73.8,12.1,5.9,11.2,3.3,4.9,7.0,4.7,-1.8,23.3,5.5,21.1,17.5,-12.4,8.4,10.0,3.8,14.9,11.4,0.5,4.0,7.8,2.8,21.2,20.4,-5.6,4.9,13.0,-0.3,15.4,21.2,2.3,5.9,23.1,11.5
2008Jan,10.3,4.2,16.3,14.4,6.4,3.2,11.1,2.4,16.2,9.6,-6.0,3.2,36.8,6.2,27.5,66.2,9.0,8.5,11.3,2.9,5.1,4.3,-4.1,-0.8,21.3,5.2,22.1,19.6,-5.8,8.6,9.4,3.6,13.8,10.1,2.5,3.4,7.0,2.4,19.8,20.6,-0.5,3.3,12.2,0.2,17.6,20.2,5.0,4.3,23.3,11.5
2007Dec,9.1,3.0,15.7,13.5,7.0,2.3,10.1,2.2,14.4,7.0,1.7,2.1,37.3,5.3,27.7,63.6,11.7,11.5,11.2,4.3,5.0,3.5,-4.4,0.2,20.6,3.5,21.2,21.6,-0.3,6.7,8.9,3.1,12.2,8.6,4.1,2.8,6.0,2.3,17.4,25.4,2.0,1.6,12.3,-1.2,13.6,13.7,13.3,3.8,21.9,12.0
2007Nov,7.7,2.3,15.3,12.9,9.0,0.8,8.8,2.2,11.3,5.9,-4.3,1.7,38.3,5.3,28.7,57.9,17.2,11.4,10.5,4.7,6.7,6.3,-13.8,-0.3,17.9,2.6,18.6,19.7,4.1,4.8,8.0,3.0,10.7,7.1,3.5,2.2,5.1,2.3,16.3,26.3,2.8,1.5,10.9,-1.2,13.7,15.6,16.1,3.5,20.6,11.0
2007Oct,6.3,3.5,15.3,11.4,7.0,0.5,7.9,2.1,6.7,4.1,-1.4,2.7,38.0,8.0,30.8,49.4,19.3,11.0,9.5,4.7,5.7,2.1,-11.7,0.8,6.9,2.0,13.7,8.8,3.6,1.2,6.8,2.7,8.5,4.8,4.3,1.7,4.0,1.9,13.5,26.1,2.5,1.6,8.7,-0.5,9.5,13.0,12.8,3.0,20.7,8.3
2007Sep,4.8,2.0,11.0,4.3,-1.1,0.9,6.0,2.3,4.3,3.0,-7.0,2.0,38.9,10.0,32.1,44.7,41.4,10.5,8.6,4.4,5.6,1.0,4.4,1.3,2.6,1.7,6.5,4.1,-5.9,1.3,5.1,2.1,5.1,2.9,1.6,1.4,3.3,1.9,6.7,24.2,-5.9,1.3,5.4,0.5,3.7,6.2,5.1,1.3,16.5,5.4
2007Aug,4.1,2.6,10.2,3.5,2.3,0.9,4.6,2.7,3.3,1.6,-3.3,2.4,37.3,9.0,30.0,36.0,48.9,10.2,7.4,2.8,1.8,0.0,24.0,0.9,2.4,1.8,4.2,1.4,-7.1,3.8,4.0,2.1,2.8,0.1,3.4,1.3,2.5,2.1,3.0,20.4,-1.4,0.9,3.7,-2.0,2.8,2.3,4.2,1.6,15.4,5.0
2007Jul,3.9,2.7,6.8,2.9,3.7,1.4,4.2,2.7,2.7,2.0,4.1,2.8,24.8,5.3,13.9,17.6,27.0,10.1,4.1,2.7,5.5,1.7,13.8,0.6,3.7,0.6,2.3,0.4,-1.3,1.4,3.5,2.2,1.8,-3.2,4.8,1.5,2.1,2.0,1.5,3.3,1.3,0.7,3.5,-0.1,2.3,2.6,7.9,1.2,14.8,4.7
2007Jun,3.7,3.7,4.6,1.0,5.8,1.0,4.3,2.9,2.0,1.4,0.4,2.8,16.8,3.8,8.7,14.1,-5.1,10.7,4.7,2.2,5.2,1.9,1.5,1.7,7.8,0.8,2.7,-0.6,-1.6,0.1,3.7,2.7,1.8,-3.5,3.8,1.5,2.5,2.3,0.6,2.2,-1.5,0.9,3.9,1.6,2.1,2.8,3.9,0.7,15.4,4.5
2007May,3.6,2.5,4.3,0.4,10.6,1.8,4.4,3.0,2.4,1.3,0.1,2.8,16.5,2.8,8.2,4.1,-15.5,11.3,4.9,2.8,4.2,3.2,13.7,1.6,12.1,-0.2,1.5,-1.3,9.0,-0.3,3.7,2.9,1.6,-3.4,5.6,1.7,2.5,2.1,0.0,1.9,2.5,0.7,4.6,3.1,3.9,3.0,8.6,0.5,15.8,4.1
2007Apr,3.5,3.0,4.4,1.7,13.1,1.3,4.8,2.9,2.7,1.4,11.1,4.0,16.0,2.0,7.3,2.9,-9.1,8.8,4.7,2.1,5.3,2.9,24.2,0.9,10.3,-0.8,1.5,-0.1,27.2,0.1,3.6,3.5,1.5,-3.0,9.9,1.9,2.7,2.3,-0.1,1.2,10.2,0.7,5.8,3.3,3.1,2.0,15.5,1.1,14.3,3.6
2007Mar,3.0,2.7,4.1,3.3,4.1,0.7,4.7,3.1,3.4,2.6,1.2,3.6,16.3,2.3,8.3,2.3,-5.7,0.5,4.1,2.2,4.4,2.3,21.2,0.9,10.0,-1.6,0.9,-1.1,15.6,0.0,3.5,3.3,1.4,-2.2,5.5,1.9,2.5,2.1,-0.4,1.0,5.1,0.9,4.9,3.4,2.7,1.7,7.0,0.9,14.5,3.4
2007Feb,2.1,3.4,4.1,3.0,1.6,-1.4,4.8,3.1,3.3,3.9,3.0,3.7,14.6,2.3,7.7,2.1,0.2,-0.6,3.8,2.9,4.0,2.5,27.8,1.5,9.9,-2.0,0.9,-0.7,16.8,-1.3,3.1,2.8,0.8,-0.4,5.7,1.7,2.2,2.0,-0.1,1.0,6.8,0.9,4.2,4.4,3.0,1.2,14.4,0.7,9.7,2.8
2007Jan,2.5,2.2,2.8,4.5,4.7,0.3,4.4,2.8,2.7,5.0,11.5,2.9,13.1,1.9,6.0,1.7,4.9,19.6,1.8,2.5,4.6,5.8,32.9,1.1,9.5,-1.8,0.4,-1.9,19.3,-1.9,2.8,3.0,1.2,1.2,8.5,1.7,2.2,2.3,0.0,0.4,11.9,0.7,4.0,3.2,2.1,1.7,19.7,1.1,8.9,2.8
2006Dec,1.8,2.6,2.9,3.9,6.7,1.1,3.9,3.0,2.7,5.8,7.0,3.4,12.1,1.3,4.8,2.2,1.3,18.5,1.2,4.0,3.9,8.9,39.2,1.0,9.8,-2.2,0.0,-1.9,14.6,-2.1,2.7,3.0,1.3,3.1,7.9,1.8,1.9,2.0,0.1,0.5,12.4,1.1,2.1,2.7,3.3,1.1,14.7,1.5,8.2,2.0
2006Nov,1.8,1.5,2.2,4.7,8.7,1.1,4.0,2.6,3.1,6.2,15.3,2.9,7.9,1.2,3.5,2.4,1.8,19.4,2.5,5.4,5.1,6.4,10.2,1.1,9.4,-2.1,-0.3,-2.6,13.6,-1.6,2.6,3.1,1.2,5.9,10.5,1.8,1.8,2.0,-0.2,0.7,15.0,1.2,2.5,4.5,3.5,0.2,10.8,1.3,8.5,1.8
2006Oct,1.6,1.7,1.1,3.8,5.9,0.5,3.6,2.5,2.7,6.2,14.0,2.8,4.3,0.5,2.3,2.8,-0.3,19.5,3.0,4.8,5.3,8.5,15.6,2.4,8.0,-1.8,-1.1,-3.0,12.3,-2.0,2.3,3.2,1.1,7.7,8.5,1.7,1.5,2.2,-0.2,0.3,11.6,1.1,1.6,1.3,3.7,0.6,5.7,1.2,8.5,2.3
2006Sep,1.3,1.3,0.5,4.3,11.1,-0.4,3.6,1.8,1.9,5.0,27.1,2.9,-1.4,-0.2,3.4,3.7,-2.6,21.7,3.8,4.7,5.4,8.5,27.3,2.3,11.9,-1.5,-0.8,-2.6,15.6,-2.5,2.2,2.8,1.1,8.4,9.9,1.8,1.1,1.8,0.0,0.8,14.9,1.0,1.1,1.7,3.0,0.9,8.6,1.1,6.3,2.5
2006Aug,1.0,1.4,-0.5,4.1,11.6,0.7,3.5,1.2,1.2,4.2,12.0,2.1,-0.9,1.1,4.6,4.8,-1.2,25.7,4.6,5.3,5.8,8.7,9.8,2.0,11.7,-1.8,-0.3,-1.8,16.3,-4.7,1.6,2.5,1.0,8.9,7.7,1.7,1.0,1.4,0.0,0.7,12.3,1.2,0.5,-0.3,1.3,1.6,8.0,0.8,4.2,2.6
2006Jul,0.9,0.8,-0.1,3.9,7.3,1.2,3.4,1.2,1.1,3.2,8.8,1.8,1.4,2.5,5.2,5.5,8.0,25.7,4.6,6.9,5.3,7.6,13.8,1.5,10.7,-1.9,-0.1,-2.2,16.0,-2.5,1.6,2.1,1.0,9.6,6.4,1.4,1.0,1.0,0.2,0.4,11.0,1.5,1.6,-0.3,1.4,1.6,4.5,1.7,4.2,2.1
2006Jun,1.1,-0.4,-0.4,3.2,2.7,1.0,3.2,0.8,1.0,2.0,8.6,2.0,3.9,4.0,5.9,5.3,15.1,27.9,4.0,7.8,6.0,8.0,20.9,1.8,6.4,-1.9,-0.8,-2.1,12.5,-0.8,1.4,1.5,0.5,9.5,5.2,1.5,0.8,0.7,0.2,0.0,7.7,1.9,1.6,-0.8,1.4,1.7,7.4,1.6,3.5,2.3
2006May,1.0,0.8,-0.8,3.7,3.1,-0.2,3.0,0.7,0.3,2.3,2.3,2.2,3.8,4.5,5.6,5.1,15.7,26.7,4.0,8.7,6.0,8.4,5.3,1.4,2.5,-1.2,-1.3,-2.3,13.9,-1.7,1.3,1.1,0.4,8.9,3.4,1.2,0.8,0.5,0.1,-1.1,6.5,1.7,1.7,-0.1,1.6,0.8,4.2,2.0,3.0,3.3
2006Apr,0.7,0.1,-0.9,2.6,-5.4,0.2,2.4,0.8,-0.1,1.9,6.3,1.1,3.8,4.2,5.2,4.8,7.3,29.5,4.2,10.1,4.8,8.1,-4.3,1.9,1.3,-2.2,-1.5,-3.7,11.7,-1.6,1.2,0.7,0.4,8.2,1.7,1.0,0.6,0.4,0.1,-2.0,4.7,1.6,1.3,0.0,1.3,1.3,-1.9,2.0,3.9,3.6
2006Mar,1.3,-1.2,0.2,2.0,-10.7,-0.4,2.2,0.8,-0.5,0.7,-2.0,1.5,3.1,3.6,3.8,5.1,8.3,47.7,3.7,10.9,6.3,6.5,-5.4,2.0,0.9,-1.5,-1.6,-2.6,4.5,-1.4,1.2,0.7,0.4,7.9,-1.7,0.8,0.5,0.5,-0.1,-2.3,-1.6,1.2,1.6,-0.4,2.0,1.4,-10.8,2.0,3.1,3.9
2006Feb,1.1,-1.6,0.2,0.2,-4.5,1.5,2.1,1.0,-0.5,-0.1,13.6,2.0,3.3,3.7,2.8,4.7,9.9,47.2,3.4,10.0,4.1,6.4,-9.6,2.0,0.6,-0.9,-1.3,-3.2,4.3,-2.1,1.0,1.0,0.8,6.2,2.2,0.7,0.4,0.2,-0.6,-3.4,2.2,1.1,1.9,0.0,1.7,2.1,-6.3,2.4,3.2,3.9
2006Jan,1.3,0.2,0.5,-0.3,-1.5,-1.2,2.3,1.2,-0.1,-0.3,12.1,3.6,3.3,6.0,2.8,4.3,10.8,15.3,3.3,9.2,3.5,3.9,-7.2,2.6,0.6,-1.2,-0.9,-2.3,4.3,-1.7,0.9,0.8,0.7,4.9,3.8,0.5,0.0,0.0,-0.7,-3.1,5.1,0.7,1.3,0.7,1.3,1.3,-3.6,1.2,2.7,4.3
2005Dec,1.0,0.6,1.2,0.7,-5.2,-0.1,2.5,1.2,0.0,-0.5,1.7,2.9,3.2,7.6,3.3,3.8,10.4,12.2,2.9,7.4,3.7,1.8,-24.8,1.8,0.0,-1.1,-0.4,-2.4,-0.9,-2.1,0.8,0.6,0.7,4.0,1.2,0.3,-0.1,0.2,-0.6,-3.1,-2.5,0.4,2.4,2.0,0.8,1.3,-4.8,0.9,3.2,4.3
2005Nov,0.7,2.4,0.7,0.3,-0.1,0.3,2.1,1.5,-0.4,-1.0,-1.8,3.0,5.2,8.4,4.1,4.2,21.6,9.9,2.2,5.4,2.9,2.1,10.4,3.0,0.0,-0.6,-0.3,-2.3,1.3,-2.1,0.8,0.6,0.7,2.0,2.3,0.3,-0.1,0.1,-0.7,-3.3,0.9,0.2,2.0,0.7,0.3,1.6,-2.4,0.8,2.3,4.1
2005Oct,0.5,1.2,1.0,0.7,3.8,0.0,2.2,1.6,-0.1,-0.6,-1.6,2.5,5.1,8.3,4.7,4.0,21.6,8.8,1.5,6.0,2.7,2.8,7.6,3.2,-1.0,-0.8,0.8,-1.7,3.0,-1.5,0.6,0.6,0.7,0.4,2.1,0.2,0.0,0.1,-0.7,-3.3,1.4,0.5,2.3,2.1,-0.5,1.6,-1.2,0.8,-0.9,4.0
2005Sep,0.7,1.9,0.8,0.8,6.3,-0.2,2.0,1.8,0.2,0.2,-0.8,2.2,1.8,8.0,3.4,1.5,12.1,7.2,0.6,5.2,2.1,3.1,2.7,3.0,-3.1,0.1,1.4,-0.7,2.6,-1.6,0.6,1.0,0.6,0.0,2.4,-0.1,-0.3,0.5,-0.9,-3.4,4.2,0.2,2.4,0.3,-0.1,1.3,4.5,0.8,-0.7,4.3
2005Aug,0.9,0.9,1.6,0.0,0.8,-0.6,2.2,2.1,0.1,0.9,12.7,2.9,-0.6,9.2,3.5,-1.4,19.0,3.9,0.2,4.8,3.0,3.2,-1.9,2.3,-3.3,0.4,1.1,-0.8,0.6,-0.7,0.5,0.9,0.4,-0.2,3.0,-0.2,-0.3,0.6,-1.2,-3.6,1.7,0.0,3.7,1.8,-0.8,0.6,4.8,0.7,1.7,3.4
2005Jul,1.0,2.0,1.1,0.2,-0.3,-1.6,2.4,2.1,0.1,1.4,5.2,2.7,-5.1,9.4,5.1,-3.8,3.1,7.2,0.1,2.4,2.2,2.0,-3.6,3.4,-3.5,1.1,0.8,0.6,-2.2,2.7,0.3,0.8,0.1,0.3,1.4,-0.2,-0.1,0.7,-1.6,-3.3,-0.5,-0.4,2.6,1.2,-1.6,1.3,4.4,-0.3,0.4,3.0
2005Jun,1.4,2.5,1.9,1.1,-0.5,-1.6,3.1,2.1,0.4,2.0,-2.8,2.4,-9.5,8.9,7.0,-4.7,17.0,5.5,1.2,2.1,3.6,3.8,-1.8,3.1,-2.4,2.3,0.7,1.2,-4.7,4.2,0.5,1.6,0.3,1.1,0.3,-0.1,-0.1,0.7,-1.5,-2.9,-0.1,-0.6,2.3,0.1,-1.2,0.3,-0.5,0.4,0.5,2.6
2005May,1.7,2.6,1.7,1.0,0.6,-0.7,3.2,2.2,0.3,1.3,3.5,2.3,-9.6,9.8,4.8,-5.3,12.0,4.9,2.0,3.7,4.6,12.0,-5.9,8.9,-2.4,2.3,0.5,1.2,-12.6,5.1,0.5,2.1,0.2,2.1,0.8,0.4,0.0,1.0,-1.2,-2.2,1.2,-0.6,1.5,-1.7,-2.4,0.5,-0.6,0.7,0.8,2.4
2005Apr,2.2,3.5,2.2,0.7,3.8,-0.5,3.5,2.1,0.1,1.3,-0.3,2.9,-9.6,11.3,1.7,-4.9,15.1,5.9,2.4,5.8,4.4,11.3,9.8,9.3,-1.9,2.4,0.4,1.8,-17.0,5.4,0.6,2.1,0.1,2.7,-0.5,0.8,0.0,0.6,-1.6,-1.8,-1.3,-0.5,1.5,-0.8,-2.8,0.0,1.3,0.1,1.8,2.5
2005Mar,1.9,4.5,1.2,0.8,9.7,-0.4,3.4,2.2,-0.1,1.7,13.8,3.1,-10.4,12.0,-0.4,-4.9,11.7,6.3,3.0,4.5,3.6,12.0,8.0,9.3,-1.0,2.5,0.4,2.1,-13.6,5.2,0.7,1.9,0.1,3.7,2.6,1.1,0.0,0.5,-1.6,-2.0,4.6,-0.5,1.1,0.3,-4.1,-0.9,11.5,0.3,2.5,2.4
2005Feb,2.0,4.4,1.9,1.6,6.2,-0.3,3.3,2.0,-0.1,1.7,3.3,2.6,-10.7,11.7,0.0,-5.0,9.3,2.9,3.0,6.0,4.0,12.9,2.5,8.6,-0.7,2.3,0.5,2.2,-13.1,5.8,1.0,2.1,-0.1,3.7,0.1,1.2,0.0,0.6,-1.7,-0.8,1.5,-0.4,1.4,0.1,-3.3,-1.6,5.5,-0.1,2.6,2.4
2005Jan,2.0,2.8,2.4,1.6,-3.6,2.0,5.2,2.1,-0.6,1.5,-7.0,0.9,-10.8,11.4,1.8,-4.9,4.7,3.7,3.9,7.3,5.2,3.7,3.2,8.2,-0.1,1.9,0.9,2.2,-17.6,6.2,1.3,2.2,0.0,4.2,-5.6,1.4,0.3,0.6,-1.8,-1.3,-9.3,0.0,1.4,0.9,-4.1,-1.4,-6.5,0.4,3.9,1.6
2004Dec,2.1,3.1,1.7,1.0,0.9,2.2,4.8,2.2,-0.9,1.5,3.8,1.0,-10.4,10.9,1.4,-5.1,5.1,5.7,5.8,7.7,5.3,3.9,25.8,8.5,1.5,2.2,1.4,2.6,-14.8,7.0,1.5,2.3,0.0,4.2,-3.8,1.6,0.4,0.2,-1.7,-1.3,-4.6,0.0,1.4,0.1,-3.9,-2.0,-6.2,-0.1,4.5,1.4
2004Nov,2.2,2.4,2.1,1.0,-8.7,0.9,5.0,2.4,-0.9,1.8,0.5,1.2,-4.7,10.2,1.3,-5.3,-1.7,7.7,7.5,8.8,5.1,4.3,3.6,9.7,2.7,1.3,2.6,2.8,-14.8,7.2,1.5,2.2,0.0,4.4,-7.9,1.7,0.4,0.1,-1.6,-1.3,-10.3,0.1,1.0,0.3,-3.8,-1.9,-10.0,0.3,4.7,1.2
2004Oct,2.9,3.4,1.9,0.9,-9.5,2.2,4.8,2.6,-0.8,1.8,-7.9,1.3,3.5,10.0,1.8,-6.5,8.6,9.4,7.6,8.9,5.6,4.2,-1.6,8.9,12.8,1.7,2.4,3.6,-9.8,7.9,1.7,2.0,0.1,4.7,-8.7,1.7,0.4,0.1,-1.4,-1.0,-10.6,0.0,1.2,-0.4,-3.3,-1.6,-4.4,-0.3,5.1,0.2
2004Sep,2.8,3.1,2.1,1.1,-8.9,1.7,4.7,2.7,-0.1,1.4,-21.7,1.5,6.4,10.2,5.2,-5.7,14.1,9.3,8.9,9.5,6.4,3.9,-14.6,9.6,13.2,2.3,3.1,4.3,-5.8,8.6,2.0,1.9,0.4,5.4,-10.1,1.9,0.5,-0.1,-0.7,-0.9,-11.2,0.2,1.0,2.0,-3.8,-0.9,-8.8,0.0,5.1,-1.1
2004Aug,3.1,3.8,1.9,1.3,-0.7,2.8,4.4,2.9,0.4,1.1,-10.5,1.6,9.4,7.7,5.0,-5.1,10.4,7.1,8.8,10.3,5.6,4.4,-0.4,10.4,13.0,4.6,3.7,6.1,1.4,8.3,2.2,2.3,0.6,5.4,-5.0,2.2,0.4,-0.2,-0.6,-0.9,-2.7,0.5,0.4,1.5,-3.1,-1.1,-3.4,0.9,2.2,-1.2
2004Jul,3.6,3.8,3.1,1.8,1.3,2.3,4.0,3.1,0.4,0.3,-4.3,1.7,18.4,6.1,6.0,-3.9,19.1,4.0,9.0,14.8,6.1,4.9,-3.4,9.9,13.0,5.1,4.8,5.4,-4.9,4.8,2.4,2.7,0.8,5.3,-2.1,2.3,0.4,-0.4,-0.4,-1.0,-1.4,0.7,0.7,0.2,-3.1,-1.6,-4.0,1.8,4.1,-1.1
2004Jun,3.3,2.8,1.9,0.4,3.2,3.5,3.2,3.1,0.1,0.3,0.9,1.5,22.1,4.9,8.4,-3.8,-6.5,11.8,8.1,15.3,4.5,2.7,-7.2,9.7,12.3,3.1,5.0,4.3,-14.3,2.7,2.4,2.3,1.0,4.7,0.6,2.3,0.4,-0.4,-0.4,-0.9,-1.4,0.7,1.2,0.1,-2.5,-1.1,-3.0,1.1,3.6,-1.6
